Frame,Visibility,X,Y,Z,Event,Timestamp
1405,0,0.0,0.0,0.0,0,1663139634.1117573
1406,0,0.0,0.0,0.0,0,1663139634.120082
1407,0,0.0,0.0,0.0,0,1663139634.1284666
1408,0,0.0,0.0,0.0,0,1663139634.1368504
1409,0,0.0,0.0,0.0,0,1663139634.1451836
1410,0,0.0,0.0,0.0,0,1663139634.1535099
1411,0,0.0,0.0,0.0,0,1663139634.1618366
1412,0,0.0,0.0,0.0,0,1663139634.1701536
1413,0,0.0,0.0,0.0,0,1663139634.1784616
1414,0,0.0,0.0,0.0,0,1663139634.1868203
1395,0,0.0,0.0,0.0,0,1663139634.0284488
1396,0,0.0,0.0,0.0,0,1663139634.0369258
1397,0,0.0,0.0,0.0,0,1663139634.045166
1398,0,0.0,0.0,0.0,0,1663139634.0535226
1399,0,0.0,0.0,0.0,0,1663139634.061768
1400,0,0.0,0.0,0.0,0,1663139634.0700743
1401,0,0.0,0.0,0.0,0,1663139634.0785115
1402,0,0.0,0.0,0.0,0,1663139634.0868738
1403,0,0.0,0.0,0.0,0,1663139634.0951948
1404,0,0.0,0.0,0.0,0,1663139634.103427
1415,0,0.0,0.0,0.0,0,1663139634.1951482
1416,0,0.0,0.0,0.0,0,1663139634.203495
1417,0,0.0,0.0,0.0,0,1663139634.211845
1418,0,0.0,0.0,0.0,0,1663139634.220096
1419,0,0.0,0.0,0.0,0,1663139634.2285237
1420,0,0.0,0.0,0.0,0,1663139634.236812
1421,0,0.0,0.0,0.0,0,1663139634.2451518
1422,0,0.0,0.0,0.0,0,1663139634.253463
1423,0,0.0,0.0,0.0,0,1663139634.2617664
1424,0,0.0,0.0,0.0,0,1663139634.270134
1425,0,0.0,0.0,0.0,0,1663139634.2784812
1426,0,0.0,0.0,0.0,0,1663139634.286793
1427,0,0.0,0.0,0.0,0,1663139634.295172
1428,0,0.0,0.0,0.0,0,1663139634.3035014
1429,0,0.0,0.0,0.0,0,1663139634.3117933
1430,0,0.0,0.0,0.0,0,1663139634.3201196
1431,0,0.0,0.0,0.0,0,1663139634.3284647
1432,0,0.0,0.0,0.0,0,1663139634.3367848
1433,0,0.0,0.0,0.0,0,1663139634.3451378
1434,0,0.0,0.0,0.0,0,1663139634.3534837
1435,0,0.0,0.0,0.0,0,1663139634.361834
1436,0,0.0,0.0,0.0,0,1663139634.37015
1437,0,0.0,0.0,0.0,0,1663139634.3784897
1438,0,0.0,0.0,0.0,0,1663139634.386831
1439,0,0.0,0.0,0.0,0,1663139634.3951569
1440,0,0.0,0.0,0.0,0,1663139634.4035723
1441,0,0.0,0.0,0.0,0,1663139634.4117594
1442,0,0.0,0.0,0.0,0,1663139634.4201827
1443,0,0.0,0.0,0.0,0,1663139634.4284952
1444,0,0.0,0.0,0.0,0,1663139634.4368184
1445,0,0.0,0.0,0.0,0,1663139634.4450924
1446,0,0.0,0.0,0.0,0,1663139634.4534583
1447,0,0.0,0.0,0.0,0,1663139634.4617925
1448,0,0.0,0.0,0.0,0,1663139634.4701004
1449,0,0.0,0.0,0.0,0,1663139634.4784784
1450,0,0.0,0.0,0.0,0,1663139634.4868119
1451,0,0.0,0.0,0.0,0,1663139634.4951177
1452,0,0.0,0.0,0.0,0,1663139634.5034752
1453,0,0.0,0.0,0.0,0,1663139634.5117812
1454,0,0.0,0.0,0.0,0,1663139634.5201476
1455,0,0.0,0.0,0.0,0,1663139634.528479
1456,0,0.0,0.0,0.0,0,1663139634.5368295
1457,0,0.0,0.0,0.0,0,1663139634.5451248
1458,0,0.0,0.0,0.0,0,1663139634.553472
1459,0,0.0,0.0,0.0,0,1663139634.5618105
1460,0,0.0,0.0,0.0,0,1663139634.5701826
1461,0,0.0,0.0,0.0,0,1663139634.5784948
1462,0,0.0,0.0,0.0,0,1663139634.5868583
1463,0,0.0,0.0,0.0,0,1663139634.5951908
1464,0,0.0,0.0,0.0,0,1663139634.603482
1465,0,0.0,0.0,0.0,0,1663139634.611763
1466,0,0.0,0.0,0.0,0,1663139634.6200774
1467,0,0.0,0.0,0.0,0,1663139634.6284127
1468,0,0.0,0.0,0.0,0,1663139634.6368184
1469,0,0.0,0.0,0.0,0,1663139634.6451044
1470,0,0.0,0.0,0.0,0,1663139634.6534512
1471,0,0.0,0.0,0.0,0,1663139634.6617346
1472,0,0.0,0.0,0.0,0,1663139634.6701105
1473,0,0.0,0.0,0.0,0,1663139634.6784303
1474,0,0.0,0.0,0.0,0,1663139634.6867442
1475,0,0.0,0.0,0.0,0,1663139634.6950908
1476,0,0.0,0.0,0.0,0,1663139634.703477
1477,0,0.0,0.0,0.0,0,1663139634.7118008
1478,0,0.0,0.0,0.0,0,1663139634.7201214
1479,0,0.0,0.0,0.0,0,1663139634.728423
1480,0,0.0,0.0,0.0,0,1663139634.7367399
1481,0,0.0,0.0,0.0,0,1663139634.7450972
1482,0,0.0,0.0,0.0,0,1663139634.7534597
1483,0,0.0,0.0,0.0,0,1663139634.761766
1484,0,0.0,0.0,0.0,0,1663139634.7701318
1485,0,0.0,0.0,0.0,0,1663139634.7784214
1486,0,0.0,0.0,0.0,0,1663139634.7867594
1487,0,0.0,0.0,0.0,0,1663139634.7951124
1488,0,0.0,0.0,0.0,0,1663139634.8034377
1489,0,0.0,0.0,0.0,0,1663139634.8117924
1490,0,0.0,0.0,0.0,0,1663139634.8200703
1491,0,0.0,0.0,0.0,0,1663139634.8284245
1492,0,0.0,0.0,0.0,0,1663139634.8367748
1493,0,0.0,0.0,0.0,0,1663139634.845106
1494,0,0.0,0.0,0.0,0,1663139634.853401
1495,0,0.0,0.0,0.0,0,1663139634.8617496
1496,0,0.0,0.0,0.0,0,1663139634.8700955
1497,0,0.0,0.0,0.0,0,1663139634.8784368
1498,0,0.0,0.0,0.0,0,1663139634.886757
1499,0,0.0,0.0,0.0,0,1663139634.895075
1500,0,0.0,0.0,0.0,0,1663139634.9034345
1501,0,0.0,0.0,0.0,0,1663139634.9117439
1502,0,0.0,0.0,0.0,0,1663139634.9201293
1503,0,0.0,0.0,0.0,0,1663139634.9284363
1504,0,0.0,0.0,0.0,0,1663139634.936784
1505,0,0.0,0.0,0.0,0,1663139634.9450963
1506,0,0.0,0.0,0.0,0,1663139634.9534676
1507,0,0.0,0.0,0.0,0,1663139634.961764
1508,0,0.0,0.0,0.0,0,1663139634.9700694
1509,0,0.0,0.0,0.0,0,1663139634.978429
1510,0,0.0,0.0,0.0,0,1663139634.9867704
1511,0,0.0,0.0,0.0,0,1663139634.9950917
1512,0,0.0,0.0,0.0,0,1663139635.0034463
1513,0,0.0,0.0,0.0,0,1663139635.0116844
1514,0,0.0,0.0,0.0,0,1663139635.0200868
1515,0,0.0,0.0,0.0,0,1663139635.0283704
1516,0,0.0,0.0,0.0,0,1663139635.0367181
