Frame,Visibility,X,Y,Z,Event,Timestamp
0,0,-0.1357380799298408,4.230709085610326,2.206800417777135,1,-1.0
1,0,0.0006610756472708312,3.6615667176389977,2.1895731266431064,0,-1.0
2,0,0.12177384939082872,3.1562086708949666,2.1717368295756785,0,-1.0
3,0,0.2307085199815847,2.7016652676614408,2.153137991368468,0,-1.0
4,0,0.32965290977555783,2.288807548223552,2.133677041946693,0,-1.0
5,0,0.4202924980768653,1.9106026414593869,2.113276623848061,0,-1.0
6,0,0.5039459014983478,1.5615484562577244,2.0918650165704316,0,-1.0
7,0,0.5816096804329907,1.2374867209673215,2.0693897538587973,0,-1.0
8,0,0.6540462537509901,0.9352361484362626,2.045826056577472,0,-1.0
9,0,0.7219087083036706,0.6520716529007755,2.021149177491776,0,-1.0
10,0,0.7857562767190174,0.38565976696663884,1.995331388360282,0,-1.0
11,0,0.8460543374016772,0.13405864160918224,1.968341979934817,0,-1.0
12,0,0.9031777792374662,-0.10429599347294669,1.9401527460194365,0,-1.0
13,0,0.9574262162659527,-0.33065431496329784,1.9107579537991448,0,-1.0
14,0,1.0090572346150222,-0.5460911328792842,1.8801548809357227,0,-1.0
15,0,1.0583047377829673,-0.7515824385335483,1.8483385148506992,0,-1.0
16,0,1.1053792106711253,-0.9480065062428371,1.8153016585652224,0,-1.0
17,0,1.1504677195838782,-1.1361438933280004,1.7810349307000588,0,-1.0
18,0,1.193733912228652,-1.316677440113992,1.7455267654755942,0,-1.0
19,0,1.2353180915579964,-1.4901925780450873,1.7087634774852423,0,-1.0
20,0,1.2753415664928633,-1.6571954836165474,1.6707383818247248,0,-1.0
21,0,1.3139061961248975,-1.818111176502232,1.6314568867324666,0,-1.0
22,0,1.3511038243897657,-1.973322886897431,1.590923697183676,0,-1.0
23,0,1.3870203551625861,-2.123189059359193,1.5491424780455014,0,-1.0
24,0,1.421735752257928,-2.2680433528063237,1.5061158540770294,0,-1.0
25,0,1.455324039429811,-2.408194640519386,1.4618454099292868,0,-1.0
26,0,1.487853300371707,-2.543927010140702,1.4163316901452394,0,-1.0
27,0,1.5193856787165383,-2.6754997636743507,1.369574199159792,0,-1.0
28,0,1.5499773780366786,-2.80314741748617,1.3215714012997894,0,-1.0
29,0,1.579678661843953,-2.9270797023037534,1.272320720784016,0,-1.0
30,0,1.6085342559297107,-3.0474832420302373,1.2218189361229475,0,-1.0
31,0,1.6365861305402771,-3.1645331627159017,1.1700706637848657,0,-1.0
32,0,1.6638687917926156,-3.2783734454069275,1.1170872944511883,0,-1.0
33,0,1.6904141304638964,-3.389137158320329,1.0628799509869058,0,-1.0
34,0,1.7162526509950025,-3.4969515850132846,1.0074594503321652,0,-1.0
35,0,1.7414134714905312,-3.601938224383137,0.9508363035022684,0,-1.0
36,0,1.7659243237187923,-3.704212790667393,0.8930207155876733,0,-1.0
37,0,1.7898115531118095,-3.8038852134437224,0.8340225857539931,0,-1.0
38,0,1.8131001187653204,-3.90105963762996,0.7738515072419971,0,-1.0
39,0,1.8358135934387751,-3.995834423484104,0.7125167673676099,0,-1.0
40,0,1.857974163555338,-4.088302146604317,0.6500273475219118,0,-1.0
41,0,1.8796026292018864,-4.178549597928926,0.5863919231711388,0,-1.0
42,0,1.9007184041290115,-4.26665778373642,0.5216188638566825,0,-1.0
43,0,1.9213395157510174,-4.352701925645455,0.4557162331950899,0,-1.0
44,0,1.941482605145922,-4.436751460614849,0.3886917888780642,0,-1.0
45,0,1.9611629270554567,-4.5188700409435825,0.32055298267246357,0,-1.0
46,0,1.9803944141040342,-4.5991158022324035,0.2513074753239392,0,-1.0
47,0,1.9991904612583684,-4.677544636638718,0.18097384155932128,0,-1.0
48,0,2.0175624748809624,-4.754204138622608,0.10957186847480135,0,-1.0
49,0,2.035521109613921,-4.829138765997702,0.03711904930310936,3,-1.0
