Frame,Visibility,X,Y,Z,Event,Timestamp
1405,0,0.0,0.0,0.0,0,1663139634.1033912
1395,0,0.0,0.0,0.0,0,1663139634.0200298
1406,0,0.0,0.0,0.0,0,1663139634.1117523
1396,0,0.0,0.0,0.0,0,1663139634.028332
1407,0,0.0,0.0,0.0,0,1663139634.120068
1397,0,0.0,0.0,0.0,0,1663139634.0367196
1408,0,0.0,0.0,0.0,0,1663139634.128371
1398,0,0.0,0.0,0.0,0,1663139634.0450194
1409,0,0.0,0.0,0.0,0,1663139634.1367726
1399,0,0.0,0.0,0.0,0,1663139634.0533478
1410,0,0.0,0.0,0.0,0,1663139634.1450913
1400,0,0.0,0.0,0.0,0,1663139634.061667
1411,0,0.0,0.0,0.0,0,1663139634.1534297
1401,0,0.0,0.0,0.0,0,1663139634.0700636
1412,0,0.0,0.0,0.0,0,1663139634.1617541
1402,0,0.0,0.0,0.0,0,1663139634.0784051
1403,0,0.0,0.0,0.0,0,1663139634.0867429
1413,0,0.0,0.0,0.0,0,1663139634.1700695
1404,0,0.0,0.0,0.0,0,1663139634.0950835
1414,0,0.0,0.0,0.0,0,1663139634.1783354
1415,0,0.0,0.0,0.0,0,1663139634.186679
1416,0,0.0,0.0,0.0,0,1663139634.195006
1417,0,0.0,0.0,0.0,0,1663139634.2034066
1418,0,0.0,0.0,0.0,0,1663139634.2117453
1419,0,0.0,0.0,0.0,0,1663139634.2200623
1420,0,0.0,0.0,0.0,0,1663139634.2283976
1421,0,0.0,0.0,0.0,0,1663139634.2367334
1422,0,0.0,0.0,0.0,0,1663139634.2450626
1423,0,0.0,0.0,0.0,0,1663139634.2533982
1424,0,0.0,0.0,0.0,0,1663139634.261686
1425,0,0.0,0.0,0.0,0,1663139634.2700071
1426,0,0.0,0.0,0.0,0,1663139634.2783709
1427,0,0.0,0.0,0.0,0,1663139634.2867045
1428,0,0.0,0.0,0.0,0,1663139634.2950435
1429,0,0.0,0.0,0.0,0,1663139634.3033915
1430,0,0.0,0.0,0.0,0,1663139634.3117514
1431,0,0.0,0.0,0.0,0,1663139634.3199918
1432,0,0.0,0.0,0.0,0,1663139634.3283389
1433,0,0.0,0.0,0.0,0,1663139634.3367262
1434,0,0.0,0.0,0.0,0,1663139634.345055
1435,0,0.0,0.0,0.0,0,1663139634.3534021
1436,0,0.0,0.0,0.0,0,1663139634.3617141
1437,0,0.0,0.0,0.0,0,1663139634.3700805
1438,0,0.0,0.0,0.0,0,1663139634.3784378
1439,0,0.0,0.0,0.0,0,1663139634.3867326
1440,0,0.0,0.0,0.0,0,1663139634.3950655
1441,0,0.0,0.0,0.0,0,1663139634.4034047
1442,0,0.0,0.0,0.0,0,1663139634.4117131
1443,0,0.0,0.0,0.0,0,1663139634.4200916
1444,0,0.0,0.0,0.0,0,1663139634.4284627
1445,0,0.0,0.0,0.0,0,1663139634.4367473
1446,0,0.0,0.0,0.0,0,1663139634.445076
1447,0,0.0,0.0,0.0,0,1663139634.4534173
1448,0,0.0,0.0,0.0,0,1663139634.4617293
1449,0,0.0,0.0,0.0,0,1663139634.4700527
1450,0,0.0,0.0,0.0,0,1663139634.4784036
1451,0,0.0,0.0,0.0,0,1663139634.4867113
1452,0,0.0,0.0,0.0,0,1663139634.4950423
1453,0,0.0,0.0,0.0,0,1663139634.503365
1454,0,0.0,0.0,0.0,0,1663139634.5116987
1455,0,0.0,0.0,0.0,0,1663139634.519987
1456,0,0.0,0.0,0.0,0,1663139634.5283995
1457,0,0.0,0.0,0.0,0,1663139634.5368094
1458,0,0.0,0.0,0.0,0,1663139634.5451505
1459,0,0.0,0.0,0.0,0,1663139634.5534523
1460,0,0.0,0.0,0.0,0,1663139634.5617902
