Frame,Visibility,X,Y,Z,Event,Timestamp
1596,1,-0.1002242940229114,4.353373829411863,2.725479972308438,0,1663139635.69505
1597,1,-0.0919595008753654,4.378051049146727,2.698005624786181,0,1663139635.70339
1598,1,-0.1361229815337954,4.32570722067032,2.6374953210778185,0,1663139635.7117877
1599,1,-0.0979956592862598,4.398478520649785,2.6242659763658893,0,1663139635.7200804
1600,1,-0.1082265632780888,4.393965725633711,2.5813958964374804,0,1663139635.7283149
1601,1,-0.1104623093081611,4.416914259844401,2.547931383411839,0,1663139635.7367177
1602,1,-0.1342237548913794,4.388018622233775,2.501939235644606,0,1663139635.7450345
1603,1,-0.1315170986922528,4.410916330309043,2.46738684267288,0,1663139635.7533927
1604,1,-0.0876827959048591,4.497092450031417,2.459075552021716,0,1663139635.7616878
1605,1,-0.1127253057736359,4.473413158336556,2.4031133952829253,0,1663139635.77004
1606,1,-0.0868329925771869,4.542727358704747,2.37709961591687,0,1663139635.7783709
1607,1,-0.0981817399125326,4.540113247975843,2.336540757708064,0,1663139635.7866788
1608,1,-0.0570472578013447,4.613465513058135,2.317776718369829,1,1663139635.7950635
1610,1,-0.1357380799298408,4.230709085610326,2.206800417777135,0,1663139635.811674
1612,1,0.0096229955195106,3.624171997150627,2.189815351583668,0,1663139635.8282263
1613,1,-0.0240123346732681,3.263200053626253,2.150283324112317,0,1663139635.8365765
1614,1,0.0590284766397492,3.0553853122430605,2.154042186534741,0,1663139635.8449342
1615,1,0.127879730584191,2.820455660153424,2.143238357647495,0,1663139635.8533125
1620,1,-0.2221557630551171,1.5510779693924108,1.916721082942135,0,1663139635.8948708
1621,1,0.1175341508273835,1.4168931003358394,1.9911440086854792,0,1663139635.903232
1622,1,0.2545333868450194,1.283996189058581,2.020802681581105,0,1663139635.9116163
